Horodateur,Matricule,20/06 AM,20/06 PM,21/06 AM,21/06 PM,22/06 AM,22/06 PM,23/06 AM,23/06 PM,24/06 AM,24/06 PM,25/06 AM,25/06 PM,27/06 AM,27/06 PM,28/06 AM,28/06 PM,29/06 AM,29/06 PM,30/06 AM,30/06 PM,01/07 AM,01/07 PM,02/07 AM,02/07 PM
01/04/2022 12:34:32,499847,10,10,10,10,10,10,7,7,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1
22/04/2022 15:03:44,499848,10,1,5,1,10,6,10,6,10,2,10,4,10,4,10,4,10,4,10,4,10,4,10,4
24/03/2022 16:04:34,500023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,10,1,10,1,10,1,10
29/03/2022 19:35:31,500196,1,1,1,1,1,1,1,1,1,1,4,1,5,1,5,1,8,1,8,1,1,1,5,1
24/03/2022 15:42:53,500899,7,1,1,1,8,7,8,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 18:48:37,502703,1,1,1,1,1,1,1,1,1,1,5,5,10,10,10,10,1,1,1,1,1,1,1,1
07/04/2022 13:11:34,507035,10,10,5,5,5,5,5,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25/03/2022 09:16:50,507501,1,1,1,1,1,1,5,10,8,8,1,1,3,3,4,4,3,3,5,5,1,1,1,1
24/03/2022 17:47:58,509412,1,1,1,1,8,8,10,10,10,10,8,8,1,1,1,1,1,1,1,1,1,1,1,1
03/04/2022 17:36:47,509703,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1
24/04/2022 20:37:14,512406,10,10,10,10,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 22:15:43,512823,7,10,8,10,6,8,4,5,3,4,2,3,1,2,1,2,1,2,1,2,1,2,1,2
21/04/2022 21:29:19,512823,1,5,5,8,5,10,5,9,5,6,5,6,6,1,1,1,1,1,1,1,1,1,1,1
22/04/2022 19:23:37,512824,1,1,1,1,1,1,1,1,4,4,10,10,10,10,10,10,2,2,1,1,1,1,1,1
24/03/2022 16:03:01,512832,1,1,1,1,1,1,1,1,1,6,1,10,1,9,1,5,1,1,1,1,1,1,1,1
21/04/2022 21:42:50,512833,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9
27/03/2022 14:41:36,512862,1,1,1,1,1,1,1,3,10,10,10,10,4,4,2,2,2,2,1,1,1,1,1,1
24/03/2022 19:41:23,512863,1,1,1,1,1,1,1,1,10,10,10,10,10,10,5,5,5,6,5,5,5,6,5,5
24/03/2022 21:30:55,512886,10,9,10,9,10,8,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9
31/03/2022 18:49:40,512948,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,10,1,10
21/04/2022 22:16:11,512957,1,1,1,1,1,1,3,3,3,3,5,5,8,8,9,9,10,10,9,9,9,8,9,9
21/04/2022 23:18:45,512958,1,1,1,1,1,1,1,1,10,10,1,1,10,10,10,10,10,10,10,10,10,10,1,1
24/03/2022 20:11:29,512959,1,1,1,1,1,1,1,1,1,1,1,3,4,4,6,6,10,10,8,8,7,7,1,1
